Subject ID,GRE Verbal Percentile,GRE Quant Percentile,GRE Analytical Percentile,Tier of Undergraduate Institution,Admission Decision,GPA,Master's Held,Doctorate Held,Special Degree Held,Awards: Arts,Awards: Scholastic,Awards: Research,Awards: Service,Awards: Leadership,Awards: Competitions,Gender,Ethnicity,First Generation,Work Experience
1203,98,60,92,4.0,A,3.27,0,0,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.0
1205,77,60,73,4.0,A,3.5,1,0,0,0,0,0,1,0,0,Female,White,0.0,0.16712328767123288
1206,94,30,26,2.0,R,3.8,0,0,0,0,2,1,0,0,0,Male,White,0.0,0.0
1208,65,35,73,1.0,D,3.22,0,0,0,0,0,0,1,0,0,Male,Not Reported,0.0,0.0
1209,91,68,73,4.0,R,3.97,0,0,0,0,2,1,0,0,0,Female,White,0.0,0.0
1211,96,65,48,4.0,A,3.34,0,0,0,0,2,0,0,0,0,Female,White,1.0,3.750684931506849
1212,69,11,30,3.0,A,4.0,0,0,0,0,2,0,0,0,0,Female,White,0.0,4.7534246575342465
1214,77,14,49,4.0,R,3.57,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
1215,73,64,49,3.0,A,3.67,0,0,0,0,0,0,0,0,0,Female,White,0.0,1.2547945205479452
1216,96,60,49,3.0,A,3.86,0,0,0,0,1,0,1,0,0,Female,White,0.0,3.9205479452054797
1217,99,56,92,2.0,A,4.0,0,0,0,1,1,0,0,0,0,Female,Not Reported,0.0,0.0
1219,98,52,73,2.0,R,3.93,1,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
1221,89,60,96,1.0,R,3.72,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
1222,73,27,73,4.0,A,3.65,0,0,0,0,0,0,0,0,0,Female,White,0.0,11.509589041095891
1224,89,64,73,3.0,A,3.96,1,0,0,0,2,0,0,0,0,Female,Hispanic,0.0,6.16986301369863
1226,53,94,0,1.0,A,3.0,0,0,0,0,0,0,0,0,1,Female,Not Reported,0.0,0.336986301369863
1227,98,68,73,3.0,A,4.0,0,0,0,0,1,0,0,0,0,Female,White,0.0,1.0027397260273974
1228,61,56,30,1.0,A,3.88,0,0,0,1,1,0,0,0,0,Female,White,0.0,1.4164383561643836
1229,65,17,49,1.0,A,3.7,0,0,0,0,1,0,0,1,0,Female,White,0.0,0.0
1232,73,99,11,1.0,R,4.0,0,0,0,0,1,0,0,0,1,Male,Not Reported,0.0,0.0
1233,86,43,49,3.0,A,3.91,0,0,0,1,0,0,0,0,0,Female,White,1.0,11.668493150684931
1234,77,39,73,1.0,A,3.94,0,0,0,1,0,1,0,0,0,Female,White,0.0,5.5917808219178085
1235,83,35,49,2.0,A,3.45,0,0,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.25205479452054796
1236,89,64,73,4.0,R,3.96,0,0,0,0,1,2,0,0,0,Female,White,0.0,0.0
1237,97,48,49,3.0,A,3.82,0,0,0,0,2,0,0,0,0,Female,White,0.0,3.5013698630136987
1238,91,68,30,4.0,R,3.54,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
1239,49,20,49,4.0,A,3.15,0,0,0,0,0,0,0,0,0,Female,Black or African American,0.0,3.9205479452054797
1242,95,43,92,4.0,R,3.77,1,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
1243,61,81,11,1.0,D,3.0,0,0,0,0,1,0,0,0,1,Male,Not Reported,0.0,0.0
1244,86,94,6,1.0,A,3.0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
1245,57,98,0,1.0,R,3.0,0,0,0,0,1,0,0,0,1,Female,Not Reported,0.0,0.0
1247,93,60,92,4.0,A,3.73,0,0,0,1,0,0,0,0,1,Male,Not Reported,0.0,5.7534246575342465
1248,91,64,0,4.0,A,3.75,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,2.6684931506849314
1249,98,77,73,3.0,A,3.17,0,0,0,0,3,0,0,0,0,Male,White,1.0,4.257534246575342
1251,97,31,49,4.0,R,3.95,0,0,0,0,1,1,0,1,0,Female,White,0.0,0.0
1252,73,35,73,1.0,A,3.88,0,0,0,0,0,0,0,0,0,Male,Hispanic,1.0,0.0
1253,83,56,73,4.0,R,3.84,0,0,0,0,0,1,0,0,0,Male,White,0.0,0.0
1254,53,99,49,4.0,R,3.0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
1255,95,90,73,4.0,R,3.78,0,0,0,0,1,1,0,0,0,Female,White,0.0,0.0
1256,86,31,73,1.0,A,3.0,0,0,0,0,0,0,0,0,0,Female,Black or African American,0.0,0.0
