GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
98,60,92,1.0,A,3.27,0,0,1,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.0
77,60,73,1.0,A,3.5,0,0,1,0,0,0,0,1,0,0,Female,White,0.0,61.0
94,30,26,3.0,R,3.8,0,0,0,0,0,2,1,0,0,0,Male,White,0.0,0.0
65,35,73,4.0,D,3.22,0,0,0,0,0,0,0,1,0,0,Male,Not Reported,0.0,0.0
91,68,73,1.0,R,3.97,0,0,0,0,0,2,1,0,0,0,Female,White,0.0,0.0
96,65,48,1.0,A,3.34,0,0,1,0,0,2,0,0,0,0,Female,White,1.0,1369.0
69,11,30,2.0,A,4.0,0,0,1,0,0,2,0,0,0,0,Female,White,0.0,1735.0
77,14,49,1.0,R,3.57,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
73,64,49,2.0,A,3.67,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,458.0
96,60,49,2.0,A,3.86,0,0,1,0,0,1,0,1,0,0,Female,White,0.0,1431.0
99,56,92,3.0,A,4.0,0,0,1,0,1,1,0,0,0,0,Female,Not Reported,0.0,0.0
98,52,73,3.0,R,3.93,0,0,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
89,60,96,4.0,R,3.72,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
73,27,73,1.0,A,3.65,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,4201.0
89,64,73,2.0,A,3.96,1,0,0,0,0,2,0,0,0,0,Female,Hispanic,0.0,2252.0
53,94,0,4.0,A,3.0,0,0,1,0,0,0,0,0,0,1,Female,Not Reported,0.0,123.0
98,68,73,2.0,A,4.0,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,366.0
61,56,30,4.0,A,3.88,0,0,1,0,1,1,0,0,0,0,Female,White,0.0,517.0
65,17,49,4.0,A,3.7,0,0,0,0,0,1,0,0,1,0,Female,White,0.0,0.0
73,99,11,4.0,R,4.0,0,0,0,0,0,1,0,0,0,1,Male,Not Reported,0.0,0.0
86,43,49,2.0,A,3.91,0,0,1,0,1,0,0,0,0,0,Female,White,1.0,4259.0
77,39,73,4.0,A,3.94,0,0,1,0,1,0,1,0,0,0,Female,White,0.0,2041.0
83,35,49,3.0,A,3.45,0,0,1,0,0,0,0,0,0,0,Female,Hispanic,0.0,92.0
89,64,73,1.0,R,3.96,0,0,0,0,0,1,2,0,0,0,Female,White,0.0,0.0
97,48,49,2.0,A,3.82,0,0,1,0,0,2,0,0,0,0,Female,White,0.0,1278.0
91,68,30,1.0,R,3.54,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
49,20,49,1.0,A,3.15,0,0,1,0,0,0,0,0,0,0,Female,Black or African American,0.0,1431.0
95,43,92,1.0,R,3.77,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,0.0
61,81,11,4.0,D,3.0,0,0,0,0,0,1,0,0,0,1,Male,Not Reported,0.0,0.0
86,94,6,4.0,A,3.0,0,0,1,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
57,98,0,4.0,R,3.0,0,0,0,0,0,1,0,0,0,1,Female,Not Reported,0.0,0.0
93,60,92,1.0,A,3.73,0,0,1,0,1,0,0,0,0,1,Male,Not Reported,0.0,2100.0
91,64,0,1.0,A,3.75,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,974.0
98,77,73,2.0,A,3.17,0,0,1,0,0,3,0,0,0,0,Male,White,1.0,1554.0
97,31,49,1.0,R,3.95,0,0,0,0,0,1,1,0,1,0,Female,White,0.0,0.0
73,35,73,4.0,A,3.88,0,0,1,0,0,0,0,0,0,0,Male,Hispanic,1.0,0.0
83,56,73,1.0,R,3.84,0,0,0,0,0,0,1,0,0,0,Male,White,0.0,0.0
53,99,49,1.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
