Subject ID,GRE Verbal Percentile,GRE Quant Percentile,GRE Analytical Percentile,Tier of Undergraduate Institution,Admission Decision,GPA,Master's Held,Doctorate Held,Special Degree Held,Awards: Arts,Awards: Scholastic,Awards: Research,Awards: Service,Awards: Leadership,Awards: Competitions,Gender,First Generation,Work Experience,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,Not Reported,White
3512,73,43,18,4.0,D,3.57,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3567,73,97,60,1.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2122,22,90,15,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1484,99,39,81,4.0,A,3.71,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1854,36,98,15,3.0,A,3.0,0,0,0,0,0,1,0,0,0,0,0.0,0.7479452054794521,0,0,0,0,0,1,0
3501,88,91,82,4.0,R,3.77,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4080,80,58,92,4.0,R,3.73,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,0
3854,42,96,41,1.0,R,3.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3519,76,87,42,2.0,R,3.0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3820,88,96,17,1.0,R,4.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3934,93,80,92,4.0,A,3.8,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1
1521,58,37,54,1.0,R,3.92,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0
2798,34,97,17,1.0,D,3.33,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
2401,94,86,56,4.0,A,3.91,0,0,0,0,1,0,1,0,0,0,0.0,1.663013698630137,0,0,0,0,0,0,1
1861,45,95,15,2.0,R,3.0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2660,38,76,7,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2297,74,98,15,2.0,A,4.0,0,0,0,0,3,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
4022,80,94,41,2.0,R,4.0,1,0,0,0,0,2,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2780,60,97,42,4.0,R,4.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3523,39,78,60,1.0,D,4.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1655,44,84,14,1.0,D,3.33,1,0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2370,71,40,15,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3234,65,92,18,1.0,A,3.63,0,0,0,0,1,0,0,0,0,1,0.0,2.421917808219178,0,0,0,0,0,1,0
4046,91,23,59,1.0,A,3.67,0,0,0,0,0,0,0,0,0,0,0.0,3.334246575342466,0,0,0,0,0,0,1
3491,14,97,17,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
4225,47,88,17,2.0,D,3.0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3057,43,78,18,3.0,D,3.07,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3017,61,24,18,2.0,D,2.78,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3814,83,91,59,2.0,R,3.77,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0
3441,69,94,18,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1276,57,99,30,4.0,A,3.0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
1467,66,29,78,1.0,A,3.82,0,0,0,0,0,0,0,0,0,0,0.0,6.093150684931507,0,0,0,0,0,0,1
4255,99,88,82,3.0,R,3.94,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
2806,72,95,59,1.0,R,3.9,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2482,82,43,93,3.0,R,3.84,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1446,94,69,48,4.0,A,3.84,0,0,0,0,1,1,0,0,0,0,0.0,6.416438356164384,0,1,0,0,0,0,0
3964,96,46,82,1.0,R,3.94,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2960,75,43,59,3.0,A,3.11,0,0,0,0,0,0,0,0,0,1,0.0,9.342465753424657,0,0,0,0,0,0,1
2774,85,67,93,3.0,R,3.91,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
1507,99,93,14,2.0,R,4.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3072,55,4,59,4.0,A,3.75,0,0,0,0,0,0,0,0,0,0,0.0,10.673972602739726,0,0,0,0,0,1,0
3859,91,68,59,4.0,R,3.67,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1697,89,37,35,3.0,A,3.67,0,0,0,0,3,0,0,0,0,0,0.0,2.750684931506849,0,0,0,0,0,0,1
3499,69,97,18,2.0,D,3.91,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2666,19,12,59,1.0,A,3.73,0,0,0,0,0,0,0,0,0,0,1.0,6.501369863013698,0,0,0,0,0,0,1
1702,95,57,93,1.0,A,4.0,0,0,0,0,2,1,0,0,0,0,0.0,2.663013698630137,0,0,0,0,0,0,1
2381,79,6,80,2.0,D,3.44,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
3048,48,76,60,1.0,D,2.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2442,99,67,82,4.0,A,3.55,0,0,0,0,1,0,0,1,0,0,0.0,2.5863013698630137,0,0,0,0,0,0,1
2603,42,85,59,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1695,66,6,35,1.0,A,3.57,0,0,0,0,0,0,0,0,0,1,0.0,4.580821917808219,0,0,0,1,0,0,0
2826,33,37,56,3.0,A,3.39,1,0,0,0,0,0,0,0,0,0,0.0,8.67123287671233,0,0,0,1,0,0,0
2417,45,95,0,2.0,R,3.67,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1286,97,64,92,2.0,R,3.89,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2303,87,52,80,4.0,A,3.1,0,0,0,0,1,0,0,0,0,1,0.0,2.8328767123287673,0,0,0,0,0,0,1
3139,73,24,60,3.0,R,3.97,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
4021,94,42,59,2.0,A,3.74,0,0,0,1,0,0,0,0,0,0,0.0,6.416438356164384,0,0,0,0,0,0,1
3954,88,72,82,1.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3375,39,87,0,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2343,25,88,15,3.0,R,3.53,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2184,63,37,80,3.0,R,3.87,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1783,73,33,54,3.0,R,3.8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3417,98,91,60,4.0,A,3.0,0,0,0,0,0,0,0,0,0,1,0.0,2.0876712328767124,0,0,0,0,0,0,1
2294,50,98,38,1.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2694,74,94,38,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4311,88,46,59,3.0,R,3.98,0,0,0,0,2,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1
3267,96,43,60,3.0,R,4.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3513,96,38,99,4.0,A,3.67,0,0,0,0,0,1,0,0,0,0,0.0,2.9287671232876713,0,0,0,1,0,0,0
1890,74,98,15,3.0,R,3.67,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
3593,88,51,82,4.0,A,3.05,0,0,0,0,0,0,0,0,0,0,0.0,4.421917808219178,0,0,0,0,0,0,1
1226,53,94,0,1.0,A,3.0,0,0,0,0,0,0,0,0,1,0,0.0,0.336986301369863,0,0,0,0,0,1,0
3052,94,30,82,2.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0.0,4.427397260273972,0,0,0,0,0,0,1
3318,52,97,18,1.0,D,3.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1640,77,48,41,4.0,A,3.5,0,0,0,0,1,0,0,0,0,0,1.0,7.673972602739726,0,0,0,1,0,0,0
3863,56,90,41,1.0,D,3.0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0,0,0,0,0,1,0
4276,93,74,82,3.0,R,3.84,0,0,0,1,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2308,96,25,54,4.0,A,3.67,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2115,54,94,38,1.0,R,3.78,0,0,0,0,1,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
1482,24,57,14,1.0,R,4.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
2963,51,20,59,3.0,R,3.95,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3245,31,97,18,4.0,D,3.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3511,69,87,18,1.0,A,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2576,64,1,0,4.0,A,3.8,0,0,0,0,2,0,0,0,0,0,0.0,0.673972602739726,0,0,0,1,0,0,0
3171,93,38,60,2.0,A,3.85,1,0,0,0,1,0,1,0,0,0,0.0,4.336986301369863,0,0,0,0,0,0,1
4001,83,38,59,2.0,D,3.92,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
4031,99,50,98,4.0,R,3.93,1,0,0,0,1,0,0,1,0,0,0.0,0.0,0,0,0,1,0,0,0
4227,65,96,41,1.0,R,3.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1291,99,62,63,2.0,A,3.85,1,0,0,0,0,0,0,0,0,0,0.0,1.917808219178082,0,0,0,0,0,0,1
4173,93,91,82,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2884,73,72,78,4.0,A,3.16,0,0,0,0,1,0,0,0,0,0,0.0,1.5835616438356164,0,0,0,0,0,0,1
2330,37,90,15,1.0,A,3.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
3558,76,92,42,1.0,D,4.0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1633,53,84,6,1.0,D,3.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2993,47,87,42,1.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.33424657534246577,0,0,0,0,0,1,0
1227,98,68,73,3.0,A,4.0,0,0,0,0,1,0,0,0,0,0,0.0,1.0027397260273974,0,0,0,0,0,0,1
2341,50,48,15,3.0,D,2.61,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
3347,56,94,60,2.0,R,3.67,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3262,93,76,98,4.0,R,3.91,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3599,43,78,18,1.0,A,3.0,0,0,0,0,0,0,0,0,0,0,0.0,2.1671232876712327,0,0,0,0,0,1,0
2881,88,63,93,4.0,A,3.87,0,0,0,0,1,0,0,0,0,0,1.0,13.09041095890411,0,0,0,0,0,0,1
2673,82,14,59,4.0,A,3.75,0,0,0,0,2,0,0,0,0,0,1.0,0.0,0,0,0,1,0,0,0
1733,89,56,56,4.0,A,3.58,0,0,0,0,2,0,0,0,0,0,0.0,3.4986301369863013,0,0,0,0,0,0,1
1953,81,44,80,3.0,R,3.89,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
1614,73,53,54,3.0,R,3.85,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1625,95,57,93,4.0,A,3.88,1,0,0,0,0,3,0,0,0,0,0.0,0.41643835616438357,0,0,0,0,0,0,1
3618,39,51,60,3.0,A,3.85,0,0,0,1,0,0,0,0,0,1,0.0,6.424657534246576,0,0,0,1,0,0,0
1425,65,99,11,1.0,R,4.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1477,36,23,30,1.0,R,3.37,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,0
2475,42,89,17,1.0,R,3.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
1579,87,29,35,3.0,R,3.79,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
3255,96,62,93,4.0,R,3.83,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2369,45,56,15,1.0,A,4.0,0,0,0,0,0,0,0,0,0,0,0.0,2.0027397260273974,0,0,0,0,0,1,0
1384,89,61,29,3.0,A,3.36,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
4115,61,96,41,2.0,R,4.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2433,50,98,38,4.0,D,1.0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0
2730,82,95,42,4.0,R,4.0,1,0,0,0,2,0,0,1,0,1,0.0,0.0,0,0,0,0,0,1,0
4203,52,90,59,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2215,96,71,98,1.0,A,3.93,1,0,0,0,2,1,0,0,0,0,0.0,1.2493150684931507,0,0,0,0,0,1,0
3450,39,35,82,1.0,D,3.63,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
1736,86,77,45,3.0,A,3.98,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,1
3692,24,66,18,1.0,D,3.33,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1607,92,82,67,4.0,A,3.65,0,0,0,0,0,0,0,0,0,1,0.0,6.498630136986302,0,0,0,0,0,1,0
4270,91,20,60,1.0,R,3.09,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,1,0,0,0,0,0
1676,66,81,54,4.0,R,3.67,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0
2607,38,82,42,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
4047,47,74,41,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3126,52,76,60,1.0,D,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2518,88,47,42,4.0,A,3.42,0,0,0,0,1,0,0,0,0,0,0.0,2.2465753424657535,0,0,0,0,0,0,1
3060,17,10,42,1.0,D,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
1476,83,35,49,4.0,A,3.08,0,0,0,0,0,0,0,0,0,0,0.0,4.506849315068493,0,0,0,0,0,0,1
3533,73,38,60,1.0,A,3.84,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3270,73,89,0,2.0,A,3.5,0,0,0,0,0,0,0,0,0,0,0.0,4.928767123287671,0,0,0,0,0,1,0
2667,42,76,17,1.0,R,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
2733,42,70,42,1.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0
3861,93,34,82,3.0,A,4.0,0,0,0,0,0,1,0,1,0,0,0.0,3.589041095890411,0,0,0,0,0,0,1
3955,52,96,59,1.0,D,3.0,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0,0,0,0,0,1,0
1298,80,60,49,4.0,R,3.44,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
2368,25,8,56,2.0,R,3.82,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1
